Date,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg GAP,Normalized Power® (NP®),Avg Power,Max Power,Steps,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation,distance,time_seconds,pace_seconds_per_unit,predicted_seconds,residual_seconds,actual_hms,predicted_hms
8/19/25 8:13,4.0,399,0:51:16,148,170,2.8,153,167,12:49,11:01,187,249,0.82,12:50,206,205,282,"7,796",00:01.6,5.0,0:51:15,0:55:46,880,940,4.0,3076.0,769.0,2802.1264888408105,273.87351115918955,00:51:16,00:46:42
8/16/25 6:16,6.84,706,1:56:19,138,182,2.9,121,181,17:00,9:22,620,620,0.79,16:42,166,143,285,"14,236",0:13:46,7.0,1:44:59,1:58:08,"1,038","1,263",6.84,6979.0,1020.3216374269006,4684.670366627843,2294.3296333721573,01:56:19,01:18:05
8/15/25 8:36,4.0,390,0:55:46,147,166,2.5,148,162,13:56,10:58,161,174,0.78,13:59,190,184,254,"8,196",00:02.1,5.0,0:55:38,0:56:30,830,911,4.0,3346.0,836.5,2802.1264888408105,543.8735111591895,00:55:46,00:46:42
8/14/25 9:15,4.0,407,0:50:03,155,177,3.0,154,176,12:30,9:35,161,262,0.84,12:41,209,208,302,"7,652",00:01.7,5.0,0:49:57,0:55:15,885,936,4.0,3003.0,750.75,2802.1264888408105,200.87351115918955,00:50:03,00:46:42
8/12/25 7:56,4.0,394,0:50:24,149,171,2.7,153,163,12:36,10:48,180,282,0.83,12:50,206,205,282,"7,690",00:01.5,5.0,0:50:08,0:58:09,868,946,4.0,3024.0,756.0,2802.1264888408105,221.87351115918955,00:50:24,00:46:42
8/9/25 7:09,4.54,582,1:12:29,161,190,3.4,124,200,15:59,10:09,748,745,0.81,14:34,186,159,342,"9,436",07:26.2,5.0,1:08:54,1:12:29,"1,016","1,249",4.54,4349.0,957.9295154185022,3163.5105916977072,1185.4894083022928,01:12:29,00:52:44
8/7/25 9:06,4.3,442,0:45:42,168,189,3.9,157,163,10:38,8:20,184,213,0.97,10:48,252,244,352,"7,154",03:23.7,5.0,0:45:37,0:49:51,886,934,4.3,2742.0,637.6744186046512,3003.13245106874,-261.13245106874,00:45:42,00:50:03
8/6/25 7:11,4.0,400,0:49:15,149,168,2.9,154,167,12:18,10:07,174,246,0.85,12:29,213,211,314,"7,542",00:02.3,5.0,0:48:49,0:54:28,864,936,4.0,2955.0,738.75,2802.1264888408105,152.87351115918955,00:49:15,00:46:42
8/5/25 7:48,4.0,398,0:49:16,149,173,2.9,154,165,12:19,10:51,197,285,0.85,12:25,213,212,315,"7,570",00:02.2,5.0,0:49:05,0:54:03,865,959,4.0,2956.0,739.0,2802.1264888408105,153.87351115918955,00:49:16,00:46:42
8/2/25 8:47,5.0,521,1:00:04,163,181,3.2,155,165,12:00,10:46,108,121,0.86,12:09,216,215,292,"9,326",00:02.4,6.0,0:59:50,1:02:25,715,765,5.0,3604.0,720.8,3469.921397907312,134.07860209268802,01:00:04,00:57:50
8/1/25 8:11,4.0,402,0:49:04,149,170,2.9,155,167,12:16,10:18,121,194,0.85,12:22,213,211,277,"7,608",00:01.6,5.0,0:48:58,0:54:58,823,915,4.0,2944.0,736.0,2802.1264888408105,141.87351115918955,00:49:04,00:46:42
7/31/25 8:06,4.0,407,0:49:00,152,173,3.0,155,165,12:14,10:48,220,243,0.85,12:16,220,217,313,"7,632",00:02.3,5.0,0:48:45,0:52:34,862,928,4.0,2940.0,735.0,2802.1264888408105,137.87351115918955,00:49:00,00:46:42
7/30/25 8:05,4.0,417,0:49:42,156,175,3.0,156,165,12:25,10:58,243,240,0.83,12:20,220,215,312,"7,748",00:02.4,5.0,0:49:41,0:49:47,888,946,4.0,2982.0,745.5,2802.1264888408105,179.87351115918955,00:49:42,00:46:42
7/29/25 8:11,4.0,424,0:49:16,159,177,3.0,156,166,12:19,10:48,259,279,0.84,12:13,223,219,334,"7,654",00:01.8,5.0,0:49:15,0:49:16,888,948,4.0,2956.0,739.0,2802.1264888408105,153.87351115918955,00:49:16,00:46:42
7/26/25 8:46,4.0,425,0:47:55,163,185,3.2,157,169,11:58,10:18,190,197,0.86,12:00,224,220,294,"7,488",00:01.7,5.0,0:47:54,0:47:55,838,929,4.0,2875.0,718.75,2802.1264888408105,72.87351115918955,00:47:55,00:46:42
7/22/25 8:08,1.22,106,0:23:17,100,122,0.5,98,153,19:10,16:09,62,59,0.86,19:18,94,88,161,"2,392",04:07.2,2.0,0:23:13,0:23:17,886,929,1.22,1397.0,1145.0819672131147,898.4397800577227,498.5602199422773,00:23:17,00:14:58
7/21/25 8:33,4.0,415,0:48:01,155,175,3.0,159,165,11:59,10:46,253,253,0.85,11:59,226,221,340,"7,630",00:01.8,5.0,0:47:43,0:48:50,859,928,4.0,2881.0,720.25,2802.1264888408105,78.87351115918955,00:48:01,00:46:42
7/19/25 8:44,4.0,415,0:47:45,158,174,3.0,159,165,11:56,10:41,157,131,0.85,11:58,221,219,292,"7,576",00:02.4,5.0,0:47:37,0:49:11,822,862,4.0,2865.0,716.25,2802.1264888408105,62.87351115918955,00:47:45,00:46:42
7/18/25 7:47,2.75,244,0:53:45,101,127,1.1,98,150,19:32,15:53,184,197,0.84,--,--,--,--,"5,402",0:14:20,3.0,0:52:35,0:53:45,856,925,2.75,3225.0,1172.7272727272727,1957.0784496625351,1267.9215503374649,00:53:45,00:32:37
7/17/25 7:26,4.19,432,0:43:56,168,197,3.8,135,176,10:29,6:09,30,39,1.11,10:38,287,233,487,"6,240",00:03.2,25.0,0:42:06,0:45:23,921,951,4.19,2636.0,629.1169451073985,2929.50104209547,-293.50104209547,00:43:56,00:48:50
7/16/25 8:18,4.01,413,0:47:08,156,178,3.1,159,166,11:46,10:27,233,256,0.86,11:52,231,226,329,"7,490",00:03.6,5.0,0:46:46,0:49:42,863,936,4.01,2828.0,705.2369077306734,2808.836658690315,19.163341309685165,00:47:08,00:46:49
7/15/25 8:03,4.0,416,0:47:32,157,176,3.1,158,166,11:52,10:36,233,262,0.86,11:57,228,223,333,"7,530",00:02.1,5.0,0:47:11,0:48:09,867,935,4.0,2852.0,713.0,2802.1264888408105,49.87351115918955,00:47:32,00:46:42
7/12/25 7:33,4.01,421,0:47:50,156,171,3.1,160,167,11:56,10:46,161,39,0.84,11:51,218,216,263,"7,646",00:04.2,5.0,0:47:48,0:47:50,693,824,4.01,2870.0,715.7107231920199,2808.836658690315,61.163341309685165,00:47:50,00:46:49
7/9/25 8:11,4.0,413,0:48:05,155,179,3.0,159,167,12:00,10:39,230,223,0.84,12:01,225,220,344,"7,634",00:02.2,5.0,0:47:56,0:49:40,886,934,4.0,2885.0,721.25,2802.1264888408105,82.87351115918955,00:48:05,00:46:42
7/8/25 7:29,4.17,432,0:50:02,155,177,3.1,160,168,11:59,10:39,249,240,0.84,11:57,228,222,338,"7,974",02:08.6,5.0,0:49:57,0:50:02,883,934,4.17,3002.0,719.9040767386091,2916.104833179645,85.89516682035492,00:50:02,00:48:36
7/6/25 9:20,4.07,503,0:53:55,172,195,3.5,142,212,13:14,8:02,486,486,0.85,12:31,221,192,388,"7,836",01:11.7,5.0,0:51:36,0:54:16,"1,032","1,255",4.07,3235.0,794.8402948402947,2849.082954467094,385.91704553290583,00:53:55,00:47:29
7/3/25 7:13,5.01,520,0:54:51,168,200,3.8,138,179,10:56,6:31,36,59,1.06,11:07,271,220,412,"7,892",00:03.1,23.0,0:52:41,1:01:07,951,982,5.01,3291.0,656.8862275449102,3476.568922670012,-185.56892267001194,00:54:51,00:57:57
7/2/25 8:00,4.15,427,0:50:06,156,174,3.0,159,166,12:05,10:48,217,240,0.84,12:09,221,217,312,"7,940",01:47.2,5.0,0:49:52,0:50:32,881,931,4.15,3006.0,724.3373493975903,2902.7059202318383,103.29407976816174,00:50:06,00:48:23
7/1/25 8:01,4.14,423,0:50:04,153,175,3.0,160,166,12:05,10:41,233,249,0.83,12:03,223,219,327,"7,982",01:44.9,5.0,0:49:57,0:50:04,883,934,4.14,3004.0,725.6038647342996,2896.005445506994,107.99455449300604,00:50:04,00:48:16
6/30/25 7:28,4.0,405,0:48:37,149,179,2.8,160,167,12:09,10:27,246,243,0.83,12:09,223,219,312,"7,752",00:02.6,5.0,0:48:34,0:48:37,885,934,4.0,2917.0,729.25,2802.1264888408105,114.87351115918955,00:48:37,00:46:42
6/29/25 9:00,4.01,439,0:44:54,171,188,3.7,160,172,11:13,8:36,184,197,0.9,11:13,240,236,324,"7,188",00:03.4,5.0,0:44:46,0:44:54,841,930,4.01,2694.0,671.8204488778056,2808.836658690315,-114.83665869031483,00:44:54,00:46:49
6/27/25 8:45,3.75,348,1:12:32,115,173,2.1,96,176,19:19,10:09,164,157,0.87,--,--,--,--,"7,290",0:15:05,4.0,1:07:18,1:12:32,821,923,3.75,4352.0,1160.5333333333333,2634.137861249929,1717.8621387500712,01:12:32,00:43:54
